date,value,type
2010-08-17,0.07,BTC Price
2010-08-18,0.068,BTC Price
2010-08-19,0.0667,BTC Price
2010-08-20,0.0655,BTC Price
2010-08-21,0.0664,BTC Price
2010-08-22,0.0659289888953828,BTC Price
2010-08-23,0.06491,BTC Price
2010-08-24,0.065,BTC Price
2010-08-25,0.0648,BTC Price
2010-08-26,0.0640751139684395,BTC Price
2010-08-27,0.065,BTC Price
2010-08-28,0.0646,BTC Price
2010-08-29,0.064,BTC Price
2010-08-30,0.06497,BTC Price
2010-08-31,0.06,BTC Price
2010-09-01,0.0620248275862069,BTC Price
2010-09-02,0.0634,BTC Price
2010-09-03,0.06085,BTC Price
2010-09-04,0.062178275862069,BTC Price
2010-09-05,0.06165,BTC Price
2010-09-06,0.0616,BTC Price
2010-09-07,0.0612391180596142,BTC Price
2010-09-08,0.061,BTC Price
2010-09-09,0.0611149707773232,BTC Price
2010-09-10,0.0610115242548218,BTC Price
2010-09-11,0.0636208649912332,BTC Price
2010-09-12,0.0615,BTC Price
2010-09-13,0.06218,BTC Price
2010-09-14,0.06199,BTC Price
2010-09-15,0.0604,BTC Price
2010-09-16,0.0619,BTC Price
2010-09-17,0.0600005260081823,BTC Price
2010-09-18,0.061,BTC Price
2010-09-19,0.0627,BTC Price
2010-09-20,0.0621017358270018,BTC Price
2010-09-21,0.06265,BTC Price
2010-09-22,0.061881870251315,BTC Price
2010-09-23,0.062153512565751,BTC Price
2010-09-24,0.0622,BTC Price
2010-09-25,0.06202,BTC Price
2010-09-26,0.062,BTC Price
2010-09-27,0.0622004418468732,BTC Price
2010-09-28,0.0619038977206312,BTC Price
2010-09-29,0.06191,BTC Price
2010-09-30,0.0619,BTC Price
2010-10-01,0.0619733138515488,BTC Price
2010-10-02,0.0614,BTC Price
2010-10-03,0.0610648684979544,BTC Price
2010-10-04,0.0612944769140853,BTC Price
2010-10-05,0.0614,BTC Price
2010-10-06,0.06281,BTC Price
2010-10-07,0.067,BTC Price
2010-10-08,0.0844531081239041,BTC Price
2010-10-09,0.0938,BTC Price
2010-10-10,0.0971462010520164,BTC Price
2010-10-11,0.095,BTC Price
2010-10-12,0.0949,BTC Price
2010-10-13,0.104865589129164,BTC Price
2010-10-14,0.102,BTC Price
2010-10-15,0.105,BTC Price
2010-10-16,0.101,BTC Price
2010-10-17,0.102,BTC Price
2010-10-18,0.1024,BTC Price
2010-10-19,0.0975448918760959,BTC Price
2010-10-20,0.099,BTC Price
2010-10-21,0.107,BTC Price
2010-10-22,0.1025,BTC Price
2010-10-23,0.104556424313267,BTC Price
2010-10-24,0.11501,BTC Price
2010-10-25,0.139118552893045,BTC Price
2010-10-26,0.151,BTC Price
2010-10-27,0.1877,BTC Price
2010-10-28,0.1731,BTC Price
2010-10-29,0.19,BTC Price
2010-10-30,0.197610543541789,BTC Price
2010-10-31,0.1925,BTC Price
2010-11-01,0.194525061367621,BTC Price
2010-11-02,0.1938,BTC Price
2010-11-03,0.1931,BTC Price
2010-11-04,0.229275160724722,BTC Price
2010-11-05,0.259112413793104,BTC Price
2010-11-06,0.400982302746932,BTC Price
2010-11-07,0.34,BTC Price
2010-11-08,0.243184628872005,BTC Price
2010-11-09,0.217272694330801,BTC Price
2010-11-10,0.229549731151373,BTC Price
2010-11-11,0.2231,BTC Price
2010-11-12,0.2682,BTC Price
2010-11-13,0.276,BTC Price
2010-11-14,0.27904,BTC Price
2010-11-15,0.268464555815313,BTC Price
2010-11-16,0.225,BTC Price
2010-11-17,0.241939333722969,BTC Price
2010-11-18,0.269057790765634,BTC Price
2010-11-19,0.27829,BTC Price
2010-11-20,0.283015964932788,BTC Price
2010-11-21,0.27675,BTC Price
2010-11-22,0.285,BTC Price
2010-11-23,0.28295,BTC Price
2010-11-24,0.282905736411455,BTC Price
2010-11-25,0.28,BTC Price
2010-11-26,0.2844,BTC Price
2010-11-27,0.283,BTC Price
2010-11-28,0.271358679135009,BTC Price
2010-11-29,0.230559456458212,BTC Price
2010-11-30,0.2082,BTC Price
2010-12-01,0.2275,BTC Price
2010-12-02,0.255,BTC Price
2010-12-03,0.251060083576856,BTC Price
2010-12-04,0.205000526008182,BTC Price
2010-12-05,0.202850017533606,BTC Price
2010-12-06,0.204,BTC Price
2010-12-07,0.233420385739334,BTC Price
2010-12-08,0.2388,BTC Price
2010-12-09,0.199991694330801,BTC Price
2010-12-10,0.204,BTC Price
2010-12-11,0.228,BTC Price
2010-12-12,0.219853611922852,BTC Price
2010-12-13,0.227605236703682,BTC Price
2010-12-14,0.24669,BTC Price
2010-12-15,0.24,BTC Price
2010-12-16,0.24996,BTC Price
2010-12-17,0.242655815312683,BTC Price
2010-12-18,0.241,BTC Price
2010-12-19,0.2401,BTC Price
2010-12-20,0.267,BTC Price
2010-12-21,0.241436002337814,BTC Price
2010-12-22,0.25,BTC Price
2010-12-23,0.249970127995324,BTC Price
