date,value,type
2010-08-17,0.050499999024677604,Long-Term Holder Realized Price
2010-08-18,0.050500011199004366,Long-Term Holder Realized Price
2010-08-19,0.050500023322436575,Long-Term Holder Realized Price
2010-08-20,0.05049998933511211,Long-Term Holder Realized Price
2010-08-21,0.050500013523016175,Long-Term Holder Realized Price
2010-08-22,0.050499984829242284,Long-Term Holder Realized Price
2010-08-23,0.05049998438674747,Long-Term Holder Realized Price
2010-08-24,0.050499996408931706,Long-Term Holder Realized Price
2010-08-25,0.050499971602013916,Long-Term Holder Realized Price
2010-08-26,0.05049999547730823,Long-Term Holder Realized Price
2010-08-27,0.0504999717476433,Long-Term Holder Realized Price
2010-08-28,0.05049999621573347,Long-Term Holder Realized Price
2010-08-29,0.05050000802202376,Long-Term Holder Realized Price
2010-08-30,0.0504999962342592,Long-Term Holder Realized Price
2010-08-31,0.05049999624697882,Long-Term Holder Realized Price
2010-09-01,0.050500007953714995,Long-Term Holder Realized Price
2010-09-02,0.0505000195976326,Long-Term Holder Realized Price
2010-09-03,0.05049999627355115,Long-Term Holder Realized Price
2010-09-04,0.05050001951567666,Long-Term Holder Realized Price
2010-09-05,0.05049998468866488,Long-Term Holder Realized Price
2010-09-06,0.05049999629872269,Long-Term Holder Realized Price
2010-09-07,0.050500007834224134,Long-Term Holder Realized Price
2010-09-08,0.05049999632794398,Long-Term Holder Realized Price
2010-09-09,0.050500007083871666,Long-Term Holder Realized Price
2010-09-10,0.05050001755887811,Long-Term Holder Realized Price
2010-09-11,0.05049999408237157,Long-Term Holder Realized Price
2010-09-12,0.0504999827419891,Long-Term Holder Realized Price
2010-09-13,0.05050001220975822,Long-Term Holder Realized Price
2010-09-14,0.0505000009022844,Long-Term Holder Realized Price
2010-09-15,0.050499998649868635,Long-Term Holder Realized Price
2010-09-16,0.05049998743073437,Long-Term Holder Realized Price
2010-09-17,0.050499992083364434,Long-Term Holder Realized Price
2010-09-18,0.05049999932362449,Long-Term Holder Realized Price
2010-09-19,0.05050003306710193,Long-Term Holder Realized Price
2010-09-20,0.050500010306718995,Long-Term Holder Realized Price
2010-09-21,0.05049997541470916,Long-Term Holder Realized Price
2010-09-22,0.050500008911226364,Long-Term Holder Realized Price
2010-09-23,0.05049997688173764,Long-Term Holder Realized Price
2010-09-24,0.050499993154106367,Long-Term Holder Realized Price
2010-09-25,0.05049997927592736,Long-Term Holder Realized Price
2010-09-26,0.050499991225915135,Long-Term Holder Realized Price
2010-09-27,0.050499985672499796,Long-Term Holder Realized Price
2010-09-28,0.050500010336363234,Long-Term Holder Realized Price
2010-09-29,0.050499996411616316,Long-Term Holder Realized Price
2010-09-30,0.05049999642188802,Long-Term Holder Realized Price
2010-10-01,0.05050000766813745,Long-Term Holder Realized Price
2010-10-02,0.05049998517830499,Long-Term Holder Realized Price
2010-10-03,0.05049999596777445,Long-Term Holder Realized Price
2010-10-04,0.050500016339671785,Long-Term Holder Realized Price
2010-10-05,0.050499993002671176,Long-Term Holder Realized Price
2010-10-06,0.050500004281823295,Long-Term Holder Realized Price
2010-10-07,0.05049999301968763,Long-Term Holder Realized Price
2010-10-08,0.05050000427488693,Long-Term Holder Realized Price
2010-10-09,0.05049999302973246,Long-Term Holder Realized Price
2010-10-10,0.050499993037247136,Long-Term Holder Realized Price
2010-10-11,0.05050001547896633,Long-Term Holder Realized Price
2010-10-12,0.05049999283421234,Long-Term Holder Realized Price
2010-10-13,0.050499992792247345,Long-Term Holder Realized Price
2010-10-14,0.05049999282843097,Long-Term Holder Realized Price
2010-10-15,0.050500015018158526,Long-Term Holder Realized Price
2010-10-16,0.050500002253480496,Long-Term Holder Realized Price
2010-10-17,0.0505000078840726,Long-Term Holder Realized Price
